CMPLNT_NUM,MUNIMETER_ID,DIST_MUNI
136166917,3283005,136.5812129
136602766,3093010,23.06632198
136668671,1443932,14.46006366
136684754,2053016,356.6899709
136711869,1153007,13.15157175
136752724,4443017,16.29885605
136888540,3013576,7.585378797
136901078,3193055,424.2787837
137063025,2043040,58.49521129
137302845,2043036,110.5514986
137350188,2353020,228.0412795
137495642,3383053,130.6958759
137592968,4061288,927.3177802
137717351,4243120,76.37484007
137981257,3423091,285.6153088
137989468,2203022,286.6627043
138032300,2013021,20.03858786
138232230,4093038,821.2998942
138584859,3333125,135.9925045
138794848,2162910,847.2967854
138969253,3463037,320.3764855
139811482,1153023,99.01737731
139918779,5053352,3113.1609
139928845,1443949,6.599115953
140031401,1033046,13.51076506
140048073,1363001,182.852241
140373026,3013651,83.91368563
140383592,4063049,143.5226351
140491391,2023020,8.253124971
140924019,1218172,109.5587054
140945441,2103018,216.1345164
141131219,2263004,19.01662659
141171847,4243119,7.317562822
141285086,1208021,10.35425227
141335050,1023101,2.939400657
141542511,1433785,19.06907582
141759988,1443191,86.05449695
141984098,2053021,213.4645335
142003289,3573013,59.63228765
142062925,3163118,20.67682633
142130296,1403134,9.989514205
142152814,4443144,307.0780299
142275400,2083059,34.79241814
142360165,1503037,270.1164201
142395785,4423106,232.2865446
142717403,1253014,19.62568166
142747139,3583003,224.3110451
143222853,4163108,754.4592439
143422701,1068237,29.14770537
143943382,4423105,93.91954099
144025986,2083067,893.8907555
144051420,4061124,150.8610952
144284660,3103049,115.9549194
144524982,3183057,102.5520964
144613698,4193028,10.13757687
144682466,2033026,333.9831824
144706587,2262746,171.6550862
144836871,4013022,151.1199256
144914330,3383080,428.6351011
144989823,2073076,291.650842
145034703,4093107,295.509261
145128818,4343139,18.41708346
145250072,1443456,17.51405525
145424025,3283071,317.1978983
145456968,1253008,158.1641787
145470464,3433008,823.3216847
145509040,3043019,17.81083541
145557065,3333114,18.52136732
145613814,1218197,133.1774925
145629241,3383004,36.08109472
145785138,1443227,88.37450116
145941391,3303021,178.9393179
146067818,2083087,381.8565203
146202054,1453226,66.49281163
146234237,2213004,235.0718502
146266405,1453306,13.59317242
146506410,1183049,32.75179583
146735603,4181656,130.1697765
146889553,1068249,174.0317954
147092093,2323254,8.843188617
147222708,2253162,435.7976582
147469090,2203028,587.8020487
147679074,3303043,8.646456725
148118332,3483021,383.3917009
148302956,1113045,108.8610611
148601046,2053020,141.1128897
148643640,1443314,61.42722007
148902833,1193004,13.82154433
148974112,3623032,265.0495423
149123838,1259662,32.12456419
149272703,1483037,128.1165718
149300870,3033031,336.2929178
149510038,3123136,89.18737058
149512981,1473097,146.6101698
149529155,3163084,664.2136322
149868604,1068285,17.54906514
149971884,3033002,1502.05639
150009779,1433890,84.38229958
150324498,3071404,19.94891518
150594362,3183044,304.3914447
150771921,2213002,23.98716677
150863732,3093008,11.08606016
150940731,3013659,132.7164389
151050841,3533001,209.8323037
151119844,2083026,14.602211
151255877,1389691,117.811906
151518722,4413043,40.01948227
151626640,5053352,1069.698618
151716665,5043060,292.3723501
151781666,1323061,123.1364709
152130479,1083080,15.04743471
152615015,1433721,11.74321124
152619498,1218212,8.496927272
152732643,4313009,405.7227628
153068412,1264952,10.60181552
153253211,2083026,14.602211
153357440,3043222,10.1169123
153485582,2303016,18.92739936
153489784,4181654,45.07056936
153516859,3123170,119.3440622
153532561,2073026,17.82358034
153932692,1453191,50.96428013
153943496,2063032,11.7959379
154018900,2243017,67.10740557
154136755,1019685,68.53800324
154272582,1443976,59.54910747
154320983,1109650,141.7832205
154406298,3033003,541.6504071
154421456,3233004,26.47784416
154500485,1348102,204.0644876
154567602,4293128,493.8952409
154718372,3043041,14.78141544
154938290,3223032,207.6675631
154995620,3441587,205.713762
155081845,1283026,135.3814272
155091601,3193076,509.1160934
155143483,4072232,6.802028666
155170999,1033120,133.9724505
155228567,4263005,7.188131858
155256615,1433787,107.5923435
155333903,2063015,189.3695307
155435453,1218176,133.0672545
155451112,5033002,7.800753127
155581600,1023002,81.70570348
155645511,3193109,718.8614155
155876095,2303016,18.92739936
155977380,1238226,7.619441367
156023986,1228486,94.5208366
156262151,4023101,197.9491789
156402483,2013073,383.7590471
156465388,1409951,12.10460569
156494238,2123011,587.8315629
156513280,1442550,15.59382885
156552345,2063029,73.08667463
