wkt_geom_WIFI,CMPLNT_NUM,WIFI_ID,DIST_WIFI
"MultiPoint ((-73.96164820032170439 40.68219957027557854),(-73.96152021000000332 40.68191285999999707))",912415021,101,33.62686825
"MultiPoint ((-73.96463344946927521 40.68307692039270052),(-73.96459557000000018 40.68211970000000122))",425768390,104,106.3454208
"MultiPoint ((-73.98897094000000152 40.69010641999999933),(-73.9887286997843745 40.68940821979264655))",643293931,105,80.1919297
"MultiPoint ((-73.90837399992393841 40.67807899984327236),(-73.90821042000000318 40.67873441999999784))",552096509,108,74.08512367
"MultiPoint ((-73.92761663999999655 40.6764536399999983),(-73.9270980000660245 40.67923200015604124))",687242009,109,311.6306533
"MultiPoint ((-73.92491381000000672 40.67552417000000275),(-73.92442399966553523 40.67895999975293364))",445155803,110,383.7815834
"MultiPoint ((-73.92442399966553523 40.67895999975293364),(-73.92418159999999716 40.67901779000000317))",484129620,110,21.47430197
"MultiPoint ((-73.92442399966553523 40.67895999975293364),(-73.92369109000000549 40.67288014999999746))",631715654,110,677.9905644
"MultiPoint ((-73.9251618299999933 40.67296070999999813),(-73.92442399966553523 40.67895999975293364))",828207181,110,669.1211641
"MultiPoint ((-73.91832832000000053 40.67169072000000085),(-73.91650699998280061 40.67865400017731048))",559014040,111,788.4392764
"MultiPoint ((-73.91800322999999651 40.67514615999999705),(-73.91650699998280061 40.67865400017731048))",648894782,111,409.5622835
"MultiPoint ((-73.92577898000000403 40.67557139000000177),(-73.92547399970540312 40.67914300015912943))",425852542,112,397.4562479
"MultiPoint ((-73.92547399970540312 40.67914300015912943),(-73.92445442999999727 40.68323394000000093))",734552512,112,462.394262
"MultiPoint ((-73.95246421000000225 40.68057825999999721),(-73.95138099961143041 40.68055600032772645))",182176545,113,91.60803018
"MultiPoint ((-73.95227389999999446 40.6845333999999994),(-73.95138099961143041 40.68055600032772645))",252284584,113,448.0850687
"MultiPoint ((-73.95246421000000225 40.68057825999999721),(-73.95138099961143041 40.68055600032772645))",463896721,113,91.60803018
"MultiPoint ((-73.95289128999999662 40.67825085999999857),(-73.95138099961143041 40.68055600032772645))",534066218,113,286.0573586
"MultiPoint ((-73.95246421000000225 40.68057825999999721),(-73.95138099961143041 40.68055600032772645))",854668826,113,91.60803018
"MultiPoint ((-73.93549972963921846 40.67956067966809286),(-73.93506822000000511 40.68049838999999679))",187624665,115,110.3357752
"MultiPoint ((-73.95543099978230828 40.67950599975056747),(-73.95400542999999516 40.67810310000000129))",455967900,116,196.9655927
"MultiPoint ((-73.94512396000000365 40.68015778000000182),(-73.94490292943925169 40.68019738020382192))",454982473,117,19.19652166
"MultiPoint ((-73.94516541999999504 40.68235362000000066),(-73.94490292943925169 40.68019738020382192))",744439052,117,240.4716528
"MultiPoint ((-73.94512396000000365 40.68015778000000182),(-73.94490292943925169 40.68019738020382192))",804501637,117,19.19652166
"MultiPoint ((-73.94262200000000007 40.68414471999999904),(-73.94225999973872376 40.68005899987578999))",255675488,118,454.7410132
"MultiPoint ((-73.94225999973872376 40.68005899987578999),(-73.94223617999999476 40.68000265999999954))",510126108,118,6.572508924
"MultiPoint ((-73.93949698000000126 40.68300404000000015),(-73.93910100969755206 40.67975193025213798))",127742605,119,362.6876057
"MultiPoint ((-73.9400791399999946 40.67713326999999879),(-73.93910100969755206 40.67975193025213798))",219150459,119,302.3254762
"MultiPoint ((-73.93938446999999314 40.67984749000000022),(-73.93910100969755206 40.67975193025213798))",481686130,119,26.20844498
"MultiPoint ((-73.93989349000000288 40.67911765000000202),(-73.93910100969755206 40.67975193025213798))",811859738,119,97.21009534
