CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,PD_DESC,PRECINCT_ID,NUM_LRCNY,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,LATITUDE_CRIME,LONGITUDE_CRIME,DIST_ENTR,SBWY_ENTR_ID,LAT_SBWY,LONG_SBWY,SBWY_LINE,DIST_SHLTR,BUS_SHLTR_ID,LAT_BUS,LONG_BUS,WIFI_ID,DIST_WIFI,LAT_WIFI,LONG_WIFI,MUNIMETER_ID,DIST_MUNI,LIBRARY,DIST_LIB
417263388,4/14/2017,17:40:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,COMMERCIAL BUILDING,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
421685653,4/1/2017,17:15:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
427777285,4/29/2017,1:10:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.70715186,-74.00453164,265.3642019,1360,40.70863,-74.006999,A-C-J-Z-2-3-4-5,110.1388509,MN01617,40.706812,-73.947831,863,39.77212896,40.745968,-73.994039,1483089,55.56142384,New Amsterdam,767.2044253
427818197,4/30/2017,13:25:00,PETIT LARCENY,"LARCENY,PETIT BY FALSE PROMISE",1,157,FRONT OF,STREET,40.72363697,-73.9982986,74.96469527,1873,40.72426,-73.997957,N-R,274.1683963,MN0025,40.706812,-73.947831,2249,91.90379368,40.745968,-73.994039,1473040,12.52724684,Mulberry Street,227.8151911
430322351,4/6/2017,19:08:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.70803794,-74.01147856,46.76325011,1292,40.708436,-74.011298,5-Apr,94.48012533,MN01276,40.706812,-73.947831,457,27.71033748,40.745968,-73.994039,1483082,91.74508677,New Amsterdam,686.5526834
436378382,4/21/2017,14:20:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
440329729,4/1/2017,16:40:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
444117079,4/16/2017,16:20:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.72361777,-73.99999062,186.0251677,1873,40.72426,-73.997957,N-R,337.7274943,MN01145,40.706812,-73.947831,2249,208.8635142,40.745968,-73.994039,1473097,70.63343391,Mulberry Street,368.4119985
449148293,4/28/2017,12:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.72363697,-73.9982986,74.96469527,1873,40.72426,-73.997957,N-R,274.1683963,MN0025,40.706812,-73.947831,2249,91.90379368,40.745968,-73.994039,1473040,12.52724684,Mulberry Street,227.8151911
450122066,4/23/2017,18:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,RESTAURANT/DINER,40.72285468,-74.00337464,178.2887123,772,40.721967,-74.005133,A-C-E,155.218182,MN01166,40.706812,-73.947831,2262,274.5867142,40.745968,-73.994039,1323036,70.8132536,Hudson Park,808.6513071
