wkt_geom_BUS,CMPLNT_NUM,SHLTR_ID,DIST_BUS
"MultiPoint ((-73.92312099999998054 40.81760200000007899),(-73.9211522599999995 40.81698057999999918))",103238969,BX03155,179.8621679
"MultiPoint ((-73.90594399999997677 40.71241600000007566),(-73.90504715000000147 40.71518240000000333))",103263613,QN04589,316.4132884
"MultiPoint ((-73.91550417999999922 40.80091171000000116),(-73.91298599999998942 40.80164000000007718))",103774260,BX03471,227.3727963
"MultiPoint ((-73.91108399999995981 40.67600900000007869),(-73.90961260000000266 40.6789441399999987))",103838800,BR02153,348.8725559
"MultiPoint ((-73.98923099999996111 40.76333300000004556),(-73.98724823000000583 40.76072884999999957))",104266246,MN0251,334.1549416
"MultiPoint ((-73.8968829999999457 40.75445900000005395),(-73.89636256999999375 40.75349993999999754))",104361827,QN04746,115.2143705
"MultiPoint ((-74.01311522000000309 40.703596730000001),(-74.0110639999999762 40.70291100000002871))",104617200,MN0003,189.3394039
"MultiPoint ((-74.16893609999999626 40.58230198999999772),(-74.16859999999996944 40.58001300000006495))",104777868,SI05019,255.7706612
"MultiPoint ((-73.91940255000000093 40.82386861999999894),(-73.91918899999996029 40.8240610000000288))",104876558,BX03440,27.94545749
"MultiPoint ((-73.98128377000000455 40.71351279000000289),(-73.98075099999994109 40.71335300000004054))",104893682,MN0658,48.38915165
"MultiPoint ((-73.88560572000000093 40.8465525499999984),(-73.88475499999998419 40.8460210000000643))",104960321,BX03450,92.90469278
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.8327439999999342 40.75395500000007587))",105179303,QN04326,395.2356098
"MultiPoint ((-73.82208999999994603 40.6869630000000484),(-73.8214004799999941 40.68731964999999917))",105228155,QN0594,70.46893366
"MultiPoint ((-73.98249399999997422 40.76703100000003133),(-73.98236233999999456 40.76795511000000261))",105364507,MN01234,103.2221708
"MultiPoint ((-73.97889575000000661 40.66814681999999692),(-73.97882599999996955 40.6703520000000367))",105366110,BR02304,244.95078
