wkt_geom_SBWY,CMPLNT_NUM,SBWY_ID,DIST_ENTR
"MultiPoint ((-73.86144430000000227 40.88605248999999731),(-73.86066599999701054 40.88770900105032524))",111811571,1719,195.303095
"MultiPoint ((-73.98239199982025127 40.76936500060315183),(-73.98226404999999772 40.77103744000000063))",111813386,1143,186.037395
"MultiPoint ((-73.82901900054710609 40.75990800081055454),(-73.8289704099999966 40.75986976000000084))",112355936,1435,5.904924348
"MultiPoint ((-73.99350278000000003 40.69832459999999941),(-73.99327499977788136 40.69759000091109158))",112376099,1638,83.81667852
"MultiPoint ((-73.968938780000002 40.76255336999999912),(-73.96847900058079972 40.76226600111449727))",112521763,1251,50.25481713
"MultiPoint ((-73.90570848000000126 40.88007802999999996),(-73.90475099961859939 40.87916800087231195))",112525618,205,129.3302844
"MultiPoint ((-73.95467546000000425 40.66829901999999919),(-73.95086200038673496 40.66816600056173314))",112591740,601,322.7876982
"MultiPoint ((-73.89273900053316879 40.86768800092553988),(-73.88879027999999494 40.86368261999999874))",112789255,953,555.5824342
"MultiPoint ((-73.97632999957455979 40.7890200008798729),(-73.97535415999999486 40.78994740000000263))",112878580,1418,131.871576
"MultiPoint ((-73.9837379999964071 40.74325700108744996),(-73.98063693999999657 40.74228596999999752))",112930669,1676,283.2486435
"MultiPoint ((-73.95205800023811094 40.7990330007207902),(-73.94892806000000007 40.79730009000000024))",113099033,1322,326.8070895
"MultiPoint ((-73.89898651999999402 40.86778709000000021),(-73.89741799964943425 40.86760600112961583))",113258097,662,133.7517488
"MultiPoint ((-73.97713806000000147 40.77968795000000313),(-73.97597700050478409 40.77643100067876958))",113314760,733,374.7280476
"MultiPoint ((-74.00668013000000656 40.73131662000000119),(-74.00551699955352092 40.7286860005718907))",113411107,1180,308.2090478
"MultiPoint ((-73.95733413000000667 40.74410221000000121),(-73.95423199944569603 40.74265400125796077))",113538934,1329,307.4279137
"MultiPoint ((-73.90751499974345506 40.70278000059580137),(-73.90659417999999903 40.70008744999999806))",113665248,117,308.9642097
"MultiPoint ((-73.89886200040942299 40.65127800056309582),(-73.88164401999999598 40.64764472000000239))",113879052,1065,1511.142612
"MultiPoint ((-73.92498851999999943 40.66358718000000039),(-73.92310899973509208 40.6648870004761136))",113893589,586,214.6960593
"MultiPoint ((-73.78211900038030535 40.71320700095642309),(-73.7662762100000009 40.7138232699999989))",114085160,1522,1340.438938
"MultiPoint ((-73.98928218000000356 40.75043077000000125),(-73.98825399954313298 40.74984500048655178))",114194069,1009,108.4951211
"MultiPoint ((-73.98629579999999351 40.58262025999999878),(-73.98373500008773362 40.58802200105679958))",114282135,49,637.817258
"MultiPoint ((-74.07618019999999603 40.6365694899999994),(-74.07472117936833911 40.63631005470929125))",114291157,214,126.7446648
"MultiPoint ((-73.98584805999999503 40.69086638000000278),(-73.98544800048132686 40.69097200083987786))",114302672,1196,35.79216188
"MultiPoint ((-73.78241799948115442 40.71286500128810104),(-73.74057958999999585 40.66903376999999864))",114330047,1521,6016.469815
"MultiPoint ((-73.90164461000000529 40.66443968000000098),(-73.90052199966858382 40.66374200117913773))",114794248,1062,122.5313882
"MultiPoint ((-73.99145686999999327 40.73512072999999845),(-73.99123500051780411 40.73485900133318438))",114908722,326,34.58325334
"MultiPoint ((-73.97944427000000189 40.64280434999999869),(-73.97926000023164761 40.64269200102135926))",115055075,1051,19.96509277
"MultiPoint ((-74.00736802999999497 40.65475124999999679),(-74.00449900014973537 40.65449000092278453))",115149946,1596,244.3701506
"MultiPoint ((-73.95026421000000028 40.70570020000000255),(-73.95008899991150031 40.70549500046038816))",115178826,180,27.17514714
"MultiPoint ((-73.92906831999999895 40.69454258999999752),(-73.92825699993674959 40.69293000085254164))",115275135,93,191.7560576
"MultiPoint ((-73.94083099959453875 40.81389600073001134),(-73.93925822999999298 40.81054145000000233))",115299222,1316,395.4532792
"MultiPoint ((-73.9493840001686209 40.65074800086499351),(-73.93993016999999668 40.65040178000000282))",115448535,606,800.5093033
"MultiPoint ((-73.9865479994713553 40.73312200055630683),(-73.98557517000000416 40.73550440999999722))",115977206,327,277.0324547
"MultiPoint ((-73.8715823999999941 40.7339268400000023),(-73.87098299989291661 40.73335400105053594))",116110405,848,81.30395356
"MultiPoint ((-73.97619880999999964 40.78096681000000245),(-73.97317900024049209 40.78031900056934944))",116132070,378,264.8692415
"MultiPoint ((-74.00274800048985924 40.73340200103465492),(-74.00268239000000392 40.73350984000000352))",116146353,272,13.19572703
"MultiPoint ((-73.9211522599999995 40.81698057999999918),(-73.91806399995068944 40.8160330007226122))",116245562,1314,280.9977779
"MultiPoint ((-73.9503460002670181 40.6561710004650223),(-73.95020343999999568 40.65668674999999865))",116403653,1205,58.52781506
"MultiPoint ((-73.85255599957513084 40.69345100050823305),(-73.85199203999999895 40.69373368000000113))",116533917,68,57.07558637
"MultiPoint ((-73.9354609997631087 40.69689300120539599),(-73.93441597000000343 40.69482847999999819))",116582485,95,245.6872386
"MultiPoint ((-73.98239199982025127 40.76936500060315183),(-73.98226404999999772 40.77103744000000063))",116634268,1143,186.037395
"MultiPoint ((-73.94777772000000482 40.78119896999999838),(-73.94772938539092877 40.78292438898596117))",116779244,1931,191.6506908
"MultiPoint ((-73.98955451999999866 40.71684872000000155),(-73.98827300019729591 40.71820700124655446))",116906457,501,185.6764478
"MultiPoint ((-73.82841400037030155 40.75994600046212213),(-73.81372378999999739 40.76217915000000147))",116971503,1439,1264.962897
"MultiPoint ((-73.89623200021861749 40.7059550007551465),(-73.89495687999999518 40.7019054299999965))",117000215,113,462.4286932
"MultiPoint ((-73.88106290000000342 40.84425886999999733),(-73.87939700013238564 40.84107800066419003))",117057863,1742,380.1522515
"MultiPoint ((-73.92421699984025452 40.82737200047046144),(-73.923972550000002 40.8244398799999999))",117093977,463,326.265872
