wkt_geom_LIB,CMPLNT_NUM,LIBRARY,DIST_LIB
"MultiPoint ((-73.86620349000000374 40.82145596000000154),(-73.86288995608042285 40.81870935224862507))",108426617,Soundview,413.7339139
"MultiPoint ((-73.94112492296973471 40.59486151512161456),(-73.94048972000000219 40.59275319999999709))",108600116,Kings Bay,240.2153133
"MultiPoint ((-73.99335691118673708 40.74046545561088095),(-73.99035569999999495 40.73943264999999769))",108938424,Andrew Heiskell Braille and Talking Book,278.2357116
"MultiPoint ((-73.99596856906980236 40.74448733065494821),(-73.99133946000000606 40.75002196999999882))",108973247,Muhlenberg,728.4222251
"MultiPoint ((-74.00841124999999465 40.61074947000000179),(-74.00337654508531671 40.60800934995232581))",108995794,"New Utrecht <br> (Temporary Closed, will reopen later this Summer (2016).",523.5804194
"MultiPoint ((-73.94688582000000565 40.80837413999999796),(-73.94331559838256851 40.80616044207548043))",109082937,Harlem,388.8283094
"MultiPoint ((-73.95206016999999576 40.77119076999999692),(-73.95134169404904867 40.77065254346264567))",109122047,Webster,85.157552
"MultiPoint ((-73.82931594567217815 40.87075330808789175),(-73.82408320999999773 40.87864856000000202))",109325918,Baychester,981.4797464
"MultiPoint ((-73.99134798814833403 40.69568255523744682),(-73.98627328999999975 40.69220313000000289))",109360223,Brooklyn Heights,577.2976046
"MultiPoint ((-73.94803241890191714 40.82567237379983993),(-73.94475961000000552 40.82403999999999655))",109564439,Hamilton Grange,330.2793507
"MultiPoint ((-73.99790276999999605 40.69123228000000125),(-73.99134798814833403 40.69568255523744682))",109877906,Brooklyn Heights,742.4166604
"MultiPoint ((-73.73404245999999773 40.75894313999999952),(-73.73183792044950735 40.75925363922453215))",110063365,North Hills,189.3194773
"MultiPoint ((-73.93035653080916347 40.64861929304923649),(-73.92602282999999375 40.64749793000000011))",110103132,Rugby,387.1235229
"MultiPoint ((-74.01996307000000286 40.63946952999999951),(-74.0136300012150059 40.64591212398882902))",110111312,Sunset Park,893.7654778
"MultiPoint ((-74.0053310144535601 40.72998291458652886),(-74.00468069999999443 40.72390862000000311))",110172415,Hudson Park,676.7757482
"MultiPoint ((-73.94345827853814512 40.79421476546372816),(-73.93796733000000643 40.79251064999999699))",110241433,Aguilar,500.5718892
"MultiPoint ((-73.99134798814833403 40.69568255523744682),(-73.98584805999999503 40.69086638000000278))",110690406,Brooklyn Heights,708.6247949
"MultiPoint ((-73.98169851078917247 40.75189156171030902),(-73.98147529000000588 40.7512504600000014))",110693778,Mid-Manhattan,73.64723979
"MultiPoint ((-73.99829859999999826 40.72363697000000116),(-73.99568416859453635 40.72413926605543111))",110769947,Mulberry Street,227.8151911
"MultiPoint ((-73.92034938999999838 40.67880660000000148),(-73.91513241598248385 40.68481004767250653))",110781996,Saratoga,799.3498091
"MultiPoint ((-73.86144430000000227 40.88605248999999731),(-73.85958124409599179 40.89108506540670618))",110867209,Wakefield,580.5132177
"MultiPoint ((-73.99122081783711735 40.76493461839480403),(-73.98483595000000435 40.76502408000000344))",110991412,Columbus,539.1871673
"MultiPoint ((-73.98250314999999944 40.75417103000000196),(-73.98223080385784556 40.75320442290988154))",111181455,Stephen A. Schwarzman Building,109.7771427
"MultiPoint ((-73.87403487805720204 40.67270747286008969),(-73.86886990000000708 40.66194217999999694))",111299294,Cypress Hills,1272.736424
"MultiPoint ((-74.1311046150839843 40.63758561600359087),(-74.12550509000000432 40.63627370999999755))",111517314,Port Richmond,495.5889424
"MultiPoint ((-73.85695785375374101 40.84802911005552062),(-73.85304777999999715 40.84955681000000283))",111616066,Morris Park,370.8110914
"MultiPoint ((-73.98451216196562541 40.77423207861021837),(-73.98043241000000592 40.77517345999999776))",111797846,Riverside,359.9327124
"MultiPoint ((-73.86144430000000227 40.88605248999999731),(-73.85958124409599179 40.89108506540670618))",111811571,Wakefield,580.5132177
"MultiPoint ((-73.98454684522840807 40.77350699119269706),(-73.98226404999999772 40.77103744000000063))",111813386,"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",335.1880751
"MultiPoint ((-73.8289704099999966 40.75986976000000084),(-73.82888468513289126 40.75777406826377813))",112355936,Flushing,232.837543
"MultiPoint ((-73.99350278000000003 40.69832459999999941),(-73.99134798814833403 40.69568255523744682))",112376099,Brooklyn Heights,345.3233795
"MultiPoint ((-73.96938170465759299 40.7621860177235007),(-73.968938780000002 40.76255336999999912))",112521763,58th Street,55.34309749
"MultiPoint ((-73.90770595199646209 40.88069989038004337),(-73.90570848000000126 40.88007802999999996))",112525618,Kingsbridge,181.9740509
"MultiPoint ((-73.95467546000000425 40.66829901999999919),(-73.94856613670773982 40.67537085185231405))",112591740,Brower Park,939.9655636
"MultiPoint ((-73.89450288645043941 40.86298060519320785),(-73.88879027999999494 40.86368261999999874))",112789255,Bronx Library Center,487.8914262
"MultiPoint ((-73.97745211592564374 40.78483463670837494),(-73.97535415999999486 40.78994740000000263))",112878580,St. Agnes,594.7443778
"MultiPoint ((-73.98063693999999657 40.74228596999999752),(-73.97990195853162732 40.74380962013241714))",112930669,Kips Bay,180.2280391
"MultiPoint ((-73.94892806000000007 40.79730009000000024),(-73.94345827853814512 40.79421476546372816))",113099033,Aguilar,574.8772546
"MultiPoint ((-73.90119235962917799 40.86906986689302101),(-73.89898651999999402 40.86778709000000021))",113258097,Jerome Park,234.2504861
"MultiPoint ((-73.97745211592564374 40.78483463670837494),(-73.97713806000000147 40.77968795000000313))",113314760,St. Agnes,572.1525035
"MultiPoint ((-74.00668013000000656 40.73131662000000119),(-74.0053310144535601 40.72998291458652886))",113411107,Hudson Park,186.880646
"MultiPoint ((-73.95733413000000667 40.74410221000000121),(-73.94442138618983051 40.74689957448345012))",113538934,Court Square,1133.963781
"MultiPoint ((-73.91220085369725723 40.69749505302997505),(-73.90659417999999903 40.70008744999999806))",113665248,Washington Irving,554.4529568
"MultiPoint ((-73.88586614058736757 40.65320976133397579),(-73.88164401999999598 40.64764472000000239))",113879052,Spring Creek,713.7377066
"MultiPoint ((-73.93365084956477062 40.66848651013449256),(-73.92498851999999943 40.66358718000000039))",113893589,Eastern Parkway,912.4230388
"MultiPoint ((-73.7662762100000009 40.7138232699999989),(-73.76232032699329011 40.7201665369172261))",114085160,Hollis,779.6892701
"MultiPoint ((-73.98928218000000356 40.75043077000000125),(-73.98300921762813687 40.74811515837409104))",114194069,"Science, Industry and Business Library (SIBL)",588.8823615
"MultiPoint ((-73.98629579999999351 40.58262025999999878),(-73.98606199262650307 40.57663777607667299))",114282135,Coney Island,664.6245384
"MultiPoint ((-74.07667836343802037 40.64179934831383889),(-74.07618019999999603 40.6365694899999994))",114291157,St. George Library Center,582.2866564
"MultiPoint ((-73.99134798814833403 40.69568255523744682),(-73.98584805999999503 40.69086638000000278))",114302672,Brooklyn Heights,708.6247949
"MultiPoint ((-73.74057958999999585 40.66903376999999864),(-73.73991101315557728 40.65996362312600354))",114330047,Rosedale,1008.801898
"MultiPoint ((-73.90524945420668246 40.66449962821874919),(-73.90164461000000529 40.66443968000000098))",114794248,Stone Avenue,304.8997385
"MultiPoint ((-73.99335691118673708 40.74046545561088095),(-73.99145686999999327 40.73512072999999845))",114908722,Andrew Heiskell Braille and Talking Book,614.8417389
"MultiPoint ((-73.97944427000000189 40.64280434999999869),(-73.97675876883680246 40.64875019151303803))",115055075,Windsor Terrace,698.2488789
"MultiPoint ((-74.0136300012150059 40.64591212398882902),(-74.00736802999999497 40.65475124999999679))",115149946,Sunset Park,1115.331311
"MultiPoint ((-73.95755461344940329 40.70693042467485867),(-73.95026421000000028 40.70570020000000255))",115178826,Williamsburgh,631.0588067
"MultiPoint ((-73.92906831999999895 40.69454258999999752),(-73.92839866742114907 40.69481670002192431))",115275135,DeKalb,64.26644072
"MultiPoint ((-73.94094393837610824 40.81464862404033056),(-73.93925822999999298 40.81054145000000233))",115299222,Schomburg Center for Research in Black Culture,477.764289
"MultiPoint ((-73.93993016999999668 40.65040178000000282),(-73.93035653080916347 40.64861929304923649))",115448535,Rugby,833.5739296
"MultiPoint ((-73.98557517000000416 40.73550440999999722),(-73.98204888964264114 40.73808712039059543))",115977206,Epiphany,413.4967883
"MultiPoint ((-73.87797365739723432 40.73830324053647445),(-73.8715823999999941 40.7339268400000023))",116110405,Elmhurst <br> (Temporary location due to renovations),726.394015
"MultiPoint ((-73.97745211592564374 40.78483463670837494),(-73.97619880999999964 40.78096681000000245))",116132070,St. Agnes,442.3577228
"MultiPoint ((-74.00268239000000392 40.73350984000000352),(-73.99916928513314929 40.73463470830846944))",116146353,Jefferson Market,321.9792133
"MultiPoint ((-73.92438195200242035 40.81158963775246207),(-73.9211522599999995 40.81698057999999918))",116245562,Mott Haven,657.7634143
"MultiPoint ((-73.95020343999999568 40.65668674999999865),(-73.9481022990788972 40.66118930773444617))",116403653,Crown Heights,530.6316956
"MultiPoint ((-73.8614574151798422 40.69453115325740811),(-73.85199203999999895 40.69373368000000113))",116533917,Woodhaven,804.9275576
"MultiPoint ((-73.93441597000000343 40.69482847999999819),(-73.92839866742114907 40.69481670002192431))",116582485,DeKalb,508.5964337
"MultiPoint ((-73.98454684522840807 40.77350699119269706),(-73.98226404999999772 40.77103744000000063))",116634268,"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",335.1880751
"MultiPoint ((-73.95180567162080365 40.78595979862155474),(-73.94777772000000482 40.78119896999999838))",116779244,96th Street,628.5783623
"MultiPoint ((-73.98955451999999866 40.71684872000000155),(-73.98850101814436186 40.7144095503349206))",116906457,Seward Park,285.1180014
"MultiPoint ((-73.81372378999999739 40.76217915000000147),(-73.80983348434089919 40.76375031625646272))",116971503,McGoldrick,371.9438384
"MultiPoint ((-73.90258827579805256 40.70522689472795008),(-73.89495687999999518 40.7019054299999965))",117000215,Ridgewood,742.9592648
"MultiPoint ((-73.88301210482435977 40.8446444530056354),(-73.88106290000000342 40.84425886999999733))",117057863,West Farms,169.8670705
"MultiPoint ((-73.923972550000002 40.8244398799999999),(-73.91758393603561217 40.82658455897066574))",117093977,Melrose,589.203728
"MultiPoint ((-73.99122081783711735 40.76493461839480403),(-73.98998306999999386 40.7697208900000021))",117138603,Columbus,541.6887297
"MultiPoint ((-73.79021187041809071 40.69561111757665373),(-73.78318982000000403 40.69626784999999813))",117157828,South Jamaica,597.9720603
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.82888468513289126 40.75777406826377813))",117184469,Flushing,435.7958556
"MultiPoint ((-73.92438195200242035 40.81158963775246207),(-73.91977529000000402 40.81439411000000206))",117367781,Mott Haven,498.0583683
"MultiPoint ((-73.89651071999999488 40.67440421999999955),(-73.88723723774560881 40.68068925695902038))",117414972,Arlington,1049.666555
"MultiPoint ((-73.98345365000000129 40.69105543999999952),(-73.97773263286963186 40.69448969834957097))",117417524,Walt Whitman,615.8555702
"MultiPoint ((-73.96596507806374632 40.64080354720504573),(-73.96378452000000436 40.63531818999999956))",117541343,Cortelyou,636.449432
"MultiPoint ((-73.79967738999999938 40.70355491000000114),(-73.79467803992780262 40.70787313178585975))",117678873,Queens Central Library,639.0967754
"MultiPoint ((-73.83401936999999293 40.75737941999999947),(-73.82888468513289126 40.75777406826377813))",117684175,Flushing,435.7958556
"MultiPoint ((-73.92889981000000432 40.74435440999999969),(-73.92166803125439856 40.74084669683060156))",117788441,Sunnyside,724.4433859
"MultiPoint ((-73.86165592933878088 40.73743413794850454),(-73.85921448000000566 40.73672301999999945))",118043998,Lefrak City,220.8284055
"MultiPoint ((-73.81606502823946414 40.58586414713835921),(-73.81345215000000337 40.58721540999999888))",118085242,Peninsula,267.2946506
"MultiPoint ((-73.94331559838256851 40.80616044207548043),(-73.94017691999999897 40.80927934999999707))",118253743,Harlem,436.0066759
"MultiPoint ((-73.77150339000000656 40.67690002999999876),(-73.77059021605380451 40.67287520439724346))",118298147,Rochdale Village,453.5666913
"MultiPoint ((-73.99916928513314929 40.73463470830846944),(-73.99826215000000218 40.73796459999999797))",118502396,Jefferson Market,377.6361749
"MultiPoint ((-74.16981239999999787 40.57580373999999779),(-74.15111164313684355 40.55242326280796306))",118629397,Great Kills,3041.199945
"MultiPoint ((-73.94793571283621247 40.71364488802169035),(-73.93979269999999815 40.71887007000000125))",118654988,Leonard,900.0510571
"MultiPoint ((-73.89450288645043941 40.86298060519320785),(-73.89321793999999954 40.85988265000000297))",118711562,Bronx Library Center,360.6859758
"MultiPoint ((-73.92438195200242035 40.81158963775246207),(-73.92121337000000381 40.81418100999999865))",118738033,Mott Haven,392.7909036
"MultiPoint ((-73.93928685999999573 40.79895048000000202),(-73.93484756332469487 40.80301816141574989))",118935644,125th Street,586.8470099
"MultiPoint ((-73.81624732000000222 40.66525722000000087),(-73.80926182925428236 40.67478395373469624))",119071380,South Ozone Park,1211.634891
"MultiPoint ((-73.82931594567217815 40.87075330808789175),(-73.8249289000000033 40.86922454999999843))",119152572,Baychester,406.9345788
"MultiPoint ((-73.86794200000535682 40.90043990975718202),(-73.86553573999999855 40.90159225000000021))",119177243,Woodlawn Heights,239.7609275
